subject,variant,mean_r,posterior_r,max_r
sub-01,ridge,0.01657656766474247,0.01950530707836151,0.4460618793964386
sub-01,variant_A_null,0.009665919467806816,0.017283152788877487,0.4337494969367981
sub-01,variant_A_avg,0.006839515175670385,0.01620475761592388,0.4307892918586731
sub-01,variant_B_block,0.0365871861577034,0.051590606570243835,0.5192491412162781
sub-01,variant_C_full_ft,0.0065368665382266045,0.013115860521793365,0.40838250517845154
sub-02,ridge,0.005681788083165884,0.0002962336875498295,0.35751673579216003
sub-02,variant_A_null,0.03435599058866501,0.06419158726930618,0.6382373571395874
sub-02,variant_B_block,0.023816633969545364,0.027248868718743324,0.5407528877258301
sub-02,variant_C_full_ft,0.04546879976987839,0.07296009361743927,0.6248243451118469
sub-03,ridge,-0.0025999743957072496,-0.0021606076043099165,0.42764902114868164
sub-03,variant_A_null,0.004909180570393801,0.011576106771826744,0.4323103725910187
sub-03,variant_B_block,0.028111089020967484,0.035894472151994705,0.4920002222061157
sub-03,variant_C_full_ft,0.010027052834630013,0.016067354008555412,0.4324188232421875
sub-04,ridge,0.010185055434703827,0.005705047864466906,0.2341664880514145
sub-04,variant_A_null,0.0033443637657910585,0.007545094005763531,0.24577562510967255
sub-04,variant_B_block,0.019154686480760574,0.023797862231731415,0.2595723569393158
sub-04,variant_C_full_ft,0.010364425368607044,0.009214479476213455,0.2579813301563263
sub-05,ridge,0.0007168881711550057,0.013363022357225418,0.23533128201961517
sub-05,variant_A_null,-0.0015269927680492401,0.010819635353982449,0.3092621862888336
sub-05,variant_B_block,0.010577619075775146,0.010749083012342453,0.3151751160621643
sub-05,variant_C_full_ft,-0.0018046211916953325,0.006332239601761103,0.3635839819908142
